title,text,label
Trump Claims Election Was Rigged With No Evidence,The former president again repeated baseless claims that the 2020 election was stolen from him without providing any credible evidence to support his allegations.,FAKE
Scientists Confirm New COVID Variant More Transmissible,Researchers at WHO have confirmed a new variant of the coronavirus shows higher transmissibility in laboratory studies published in peer-reviewed journals.,REAL
Miracle Cure Discovered That Eliminates All Cancers Overnight,A secret cure for every type of cancer has been discovered by a garage scientist that doctors dont want you to know about because of big pharma conspiracies.,FAKE
NASA Successfully Tests Artemis Moon Rocket Engine,NASA engineers completed a full-duration hot fire test of the Space Launch System core stage engines at the Stennis Space Center in Mississippi.,REAL
Government Putting Microchips in COVID Vaccines Says Anonymous Source,An unnamed government insider claims that nano-microchips are being secretly injected into citizens through COVID-19 vaccination programs worldwide.,FAKE
FDA Approves New Treatment for Alzheimers Disease,The Food and Drug Administration has approved a new medication that clinical trials showed slows the progression of Alzheimers disease in early-stage patients.,REAL
Aliens Already Living Among Us According to Leaked Pentagon Documents,Fabricated documents supposedly from the Pentagon claim that extraterrestrial beings have been living on Earth for decades and world governments are hiding the truth.,FAKE
Federal Reserve Raises Interest Rates to Combat Inflation,The Federal Reserve increased its benchmark interest rate by 25 basis points as policymakers continue efforts to bring inflation down to their 2 percent target.,REAL
5G Towers Causing Mass Bird Deaths Scientists Refuse to Investigate,Thousands of birds are dying from 5G radiation according to viral social media posts but mainstream scientists are being silenced by telecom companies.,FAKE
Supreme Court Rules on Major Voting Rights Case,The Supreme Court issued a ruling in a landmark voting rights case that will affect how states can draw congressional district maps before the next election.,REAL
Secret Society Controls World Economy Hidden Documents Reveal,Anonymous hackers claim to have uncovered documents proving a secret cabal of billionaires controls global financial markets and manipulates governments.,FAKE
Electric Vehicle Sales Reach Record High in United States,Sales of electric vehicles in the United States hit an all-time high last quarter according to data released by the Department of Energy.,REAL
Drinking Bleach Cures Coronavirus Says Popular Health Influencer,A social media influencer with millions of followers falsely claimed that drinking diluted bleach can cure COVID-19 and prevent future infections.,FAKE
UN Report Warns of Accelerating Climate Change Impacts,A new report from the United Nations Intergovernmental Panel on Climate Change warns that global temperatures are rising faster than previously projected.,REAL
Politician Caught on Tape Admitting to Voter Fraud Conspiracy,A heavily edited video clip is being shared online claiming to show a politician admitting to fraud but fact-checkers confirmed the audio was manipulated.,FAKE
Apple Reports Record Quarterly Revenue Driven by iPhone Sales,Apple Inc announced its highest quarterly revenue in company history driven primarily by strong demand for the latest iPhone models in international markets.,REAL
Hollywood Stars Are Members of Secret Satanic Cult,An anonymous blog post with no sourcing claims that dozens of major Hollywood actors are secretly members of a satanic organization that runs the entertainment industry.,FAKE
Senate Passes Bipartisan Infrastructure Investment Bill,The United States Senate passed a major infrastructure investment bill with support from both Republican and Democratic senators that will fund roads bridges and broadband.,REAL
Chemtrails From Airplanes Are Poisoning Water Supply Study Shows,A website known for spreading misinformation falsely claims a new study proves that chemical trails left by aircraft are contaminating drinking water supplies across America.,FAKE
World Health Organization Declares End of COVID-19 Emergency,The World Health Organization officially declared an end to COVID-19 as a public health emergency of international concern after more than three years since the pandemic began.,REAL
